id,en,de,answer,,
1,Gutach: Increased safety for pedestrians,Gutach: Noch mehr Sicherheit für Fußgänger,Gutachten: Erhöhte Sicherheit für Fußgänger,,
2,"They are not even 100 metres apart: On Tuesday, the new B 33 pedestrian lights in Dorfparkplatz in Gutach became operational - within view of the existing Town Hall traffic lights.",Sie stehen keine 100 Meter voneinander entfernt: Am Dienstag ist in Gutach die neue B 33-Fußgängerampel am Dorfparkplatz in Betrieb genommen worden - in Sichtweite der älteren Rathausampel.,"Die Straßenleuchten für Fußgänger in Dorpfarkplatz, Gutach, wurden am Dienstag in Betrieb genommen – in der Nähe der bestehenden Stadthof-Kreisel.",,
3,Two sets of lights so close to one another: intentional or just a silly error?,Zwei Anlagen so nah beieinander: Absicht oder Schildbürgerstreich?,"Zwei Gruppen von Lichtern, die sich sehr nahe aneinander anlagern.",,
4,"Yesterday, Gutacht's Mayor gave a clear answer to this question.",Diese Frage hat Gutachs Bürgermeister gestern klar beantwortet.,Gutacht’s Bürgermeister gab gestern eine klare Antwort auf diese Frage.,,
5,"""At the time, the Town Hall traffic lights were installed because this was a school route,"" explained Eckert yesterday.","""Die Rathausampel ist damals installiert worden, weil diese den Schulweg sichert"", erläuterte Eckert gestern.","""Bei der Zeit wurden die Stadtbäume als Schulweg installiert, da dies eine Schulroute war.""",,
6,"The Kluser lights protect cyclists, as well as those travelling by bus and the residents of Bergle.",Die Kluser-Ampel sichere sowohl Radfahrer als auch Busfahrgäste und die Bergle-Bewohner.,"Die Kluser-Leuchten schützen Fahrräder und Reisende mit öffentlichen Verkehrsmitteln, sowie die Bewohner von Berg.",,
7,"The system, which officially became operational yesterday, is of importance to the Sulzbachweg/Kirchstrasse junction.",Die gestern offiziell in Betrieb genommene Anlage sei wichtig für den Kreuzungsbereich Sulzbachweg/Kirchstraße.,"Das System, das heute offiziell in Betrieb genommen wurde, ist von Bedeutung für die Kreuzung Süd- und Nord-Sulzbach.",,
8,"We have the museum, two churches, the spa gardens, the bus stop, a doctor's practice and a bank, not to mention the traffic from the 'Grub' residential area.","Wir haben das Museum, zwei Kirchen, Kurpark, die Bushaltestelle, einen Arzt und eine Bank sowie den Verkehrsfluss aus dem Wohngebiet ›Grub‹.","Wir haben ein Museum, zwei Kirchen, die Spa-Gärten, einen Busbahnhof, einen Arztpraxisstandort und eine Bank, nicht zu vergessen die Verkehrsstaus aus dem „Grub“-Wohngebiet.",,
9,"""At times of high road and pedestrian traffic, an additional set of lights were required to ensure safety,"" said Eckert.","""Bei dem hohen Verkehrs- und Fußgängeraufkommen musste zu deren Sicherheit eine weitere Ampel her"", so Eckert.","""In Zeiten hoher Straßen- und Fußgängerverkehrs wurde eine zusätzliche Beleuchtung benötigt, um die Sicherheit zu gewährleisten.""",,
10,This was also confirmed by Peter Arnold from the Offenburg District Office.,Dies bestätigt auch Peter Arnold vom Landratsamt Offenburg.,Peter Arnold von der Offenburger District Office bestätigte dies ebenfalls.,,
11,"""According to current measurements, around 12,000 vehicles travel through the town of Gutach on the B33 on a daily basis, of which heavy goods traffic accounts for around ten per cent,"" emphasised Arnold.","""Laut aktuellen Messungen durchfahren auf der B 33 täglich etwa 12 000 Fahrzeuge die Gemeinde Gutach, davon sind etwa zehn Prozent Schwerlastverkehr"", betont Arnold.","""Laut aktuellen Messungen verkehren etwa 11.800 Fahrzeuge täglich in der Stadt Gutach auf der B 33, wobei die Lastverkehrsbelastung rund um 10 Prozent ausmacht.""",,
12,"Therefore the construction of an additional set of lights was more than necessary: ""Here safety comes first, it's that simple,"" said Arnold.","Daher sei der Bau einer weiteren Ampel mehr als notwendig: ""Sicherheit geht hier einfach vor"", so Arnold.","Es war notwendig, eine zusätzliche Beleuchtungseinrichtung aufzubauen – Arnold sagte: „Hier Sicherheit geht vor, das ist doch einfach.“",,
13,"A total of four road safety inspections were carried out and a roundabout was also considered, however, this idea was rejected on account of the narrowness of the Sulzbachweg/Kirchstrasse junctions.","Insgesamt seien vier Verkehrsschauen durchgeführt worden, auch ein Kreisverkehr wurde angedacht, allerdings wegen der Enge in dem Kreuzungsbereich Sulzbachweg/Kirchstraße wieder verworfen.","Vier Verkehrssicherheitsinspektionen wurden durchgeführt und ein Kreisverkehr wurde ebenfalls in Betracht gezogen, jedoch wurde diese Idee aufgrund der engen Kreuzungen von Sulzbachweg und Kirchstrasse abgelehnt.",,
14,"According to Arnold, every possible test was carried out prior to the selection of the location for the traffic light posts: ""Using a goods vehicle loaded with particularly long tree trunks, we also tested whether such vehicles could access the B 33 from the Sulzbachweg without knocking over the traffic light posts"".","Es wurde laut Arnold bei der Standortwahl der Ampelmasten zuvor alles ausgetestet: ""Mittels eines extra für uns mit besonders langen Holzstämmen beladener Transporter haben wir ausgestestet, ob diese Fahrzeuge aus dem Sulzbachweg auf die B 33 ausfahren können, ohne den Ampelmasten umzuknicken"".","Nach Arnold zufolge wurden sämtliche möglichen Tests vor der Auswahl des Standorts für die Ampelzeichen durchgeführt: “Um die Zugänglichkeit des Fahrzeugs mit besonders langen Baumstämmen von der B33 über den Sulzbogen ohne zu beschädigen, wurde auch geprüft, ob dieses Fahrzeug den Verkehrsschildern ohne Beschädigung ausweichen konnte.”",,
15,"The traffic light system itself, which cost around EUR 15,000, is the ""most modern system that is currently available on the market,"" explained Arnold.","Die rund 15 000 Euro teure Ampelanlage selbst ist das ""modernste, was es derzeit auf dem Markt gibt"", erläuterte Arnold.","Die Verkehrsschildsystem, das etwa 1.500 Euro gekostet hat, ist das „modernste System, das derzeit auf dem Markt verfügbar ist“, erklärte Arnold.",,
16,"The system is fitted with coloured LEDs, which are bright enough that drivers can easily see the lights, even when the sun is low in the sky.","Die Anlage ist mit farbigen LEDs ausgestattet, die so kräftig leuchten, dass die Lichter von den Autofahrern beispielsweise auch bei tiefstehender Sonne gut zu erkennen sind.","Die Anlage ist mit farbigen LEDs ausgestattet, die hell genug sind, damit die Fahrer die Lichter leicht erkennen können, selbst wenn die Sonne tief am Himmel steht.",,
17,"And they are also energy-efficient: The older light systems consume around 100 Watts, with the new ones consuming just eight.","Und sparsam ist sie auch: Die älteren Lichtanlagen verbrauchen etwa 100 Watt, die neuen gerade mal acht Watt.","Sie sind auch energieeffizient: Ältere Beleuchtungssysteme verbrauchen etwa 120 Watt, während neue Systeme nur 8 Watt benötigen.",,
18,There are three sets of lights per direction of travel.,Pro Fahrtrichtung gibt es drei Lichtanlagen.,Drei Lichtsysteme pro Reiserichtung.,,
19,Arnold explained the technology used by the new system: It is fitted with two radar sensors.,Arnold erklärte die Technik der neuen Anlage: Diese ist mit zwei Radarsensoren ausgestattet.,"Arnold erklärte die Technologie, die von dem neuen System verwendet wird: Es ist mit zwei Radarsensoren ausgestattet.",,
20,"If the pedestrian presses the button at the traffic lights, the top radar sensor checks the traffic status.","Drückt der Fußgänger den Ampelknopf, testet der obere Radarsensor die Verkehrslage.","Wenn der Fußgänger den Knopf am Ampel drückt, überprüft die Top-Radar-Sensor die Verkehrslage.",,
21,"If the street is clear, the pedestrian obtains a green light immediately, if not, there is a delay of around 15 seconds.","Ist die Straße frei, kommt unmittelbar Grün für den Fußgänger, wenn nicht, dauert es etwa 15 Sekunden.","Wenn die Straße frei ist, erhält der Fußgänger sofort ein Grünlicht, andernfalls verzögert sich die Zeit um etwa 10 Sekunden.",,
22,An additional radar sensor checks whether the green phase for the pedestrian can be ended.,"Ein weiteres Radarsensor prüft, ob die Grünphase für den Fußgänger beendet werden kann.","Zusätzliche Radar-Sensoren überprüfen, ob die grüne Phase für Fußgänger beendet werden kann.",,
